entity_id,name,description,matched_relation
Q4450209,taksim stadı,"Taksim Stadium (Turkish: Taksim Stadı) was the first football stadium in Istanbul, Turkey. Originally the 19th century Taksim Artillery Barracks (Taksim Topçu Kışlası) it was transformed into a stadium in 1921 and was located next to today's Taksim Square. The ground was the home of all major football clubs in Istanbul, including Galatasaray, Fenerbahçe and Beşiktaş. The stadium had a seating capacity of around 8,000. It was closed in 1939 and demolished in 1940, during the formation of Taksim Square. The site was converted to a public park, named the Taksim Gezi Parkı.The first game of the Turkish national football team was played at the Taksim Stadium against Romania on October 26, 1923, and ended in a 2–2 draw, with both goals of Turkey scored by Zeki Rıza Sporel.",country
Q264095,Kastamonuspor,"Kastamonu Spor Kulübü (Kastamonu Sports Club) was a Turkish football club from the city of Kastamonu. The club began at the second level in the 1967 – 1968 season. Kastamonu Spor was relegated to the amateur level following the 1976 – 1977 season. They returned to professional football for the 1984 – 1985 season. Since then they have competed in the third level of Turkish football. The team advanced to the playoffs after the 2007 – 2008 season. but lost to Darıca Gençlerbirliği and did not reach the TFF Second League. Kastamonu Spor competed in the 4th group of TFF Third League during the 2008 – 2009 season. Despite failing to reach promotion stage, they were top of the classification group and another play-off chance seemed possible. For the 2009 season, they were guaranteed a play-off spot for promotion to TFF Second League.Kastamonu Spor matches are played at Kastamonu Gazi Stadium.",country
Q718298,turkey super cup,"The Turkish Super Cup (Turkish: TFF Süper Kupa), as it is currently known, is the annual super cup football match contested between the previous season's Süper Lig champions and the Turkish Cup winners in Turkey. It was originally known as the Cumhurbaşkanlığı Kupası (Presidential Cup) from 1966 to 1998. No competition was held between 1999 and 2005, although there was a substitute competition played under the name of Atatürk Cup in 2000. The rebranded TFF Süper Kupa is a curtain raiser for the upcoming footballing season, usually taking place in August.In case of a team achieving the double, the Turkish Cup runners-up become finalists. The 2017 Turkish Super Cup was the most recent match-up, taking place in this fashion. 2016–17 Turkish Cup winners Konyaspor won against the 2016–17 Süper Lig champions Beşiktaş.Galatasaray is the most successful team of the competition with 15 trophies and 23 appearances.",country
Q2392344,taner gülleri,Taner Gülleri (born 29 April 1976) is a former Turkish footballer and current manager of Gölcükspor.,country of citizenship
Q11751880,Kübra Öztürk,"Kübra Öztürk (born May 11, 1991) is a Turkish Woman Grand Master (WGM) female chess player. As of the July 2012 FIDE rating list, she is ranked number 199 in the world and second in Turkey among female active players. She earned FIDE titles as Woman FIDE Master (WFM) in 2006, Woman International Master (WIM) in 2009 and Woman Grand Master (WGM) on February 5, 2011.She was born in 1991 in a low-income family to Durak Öztürk, a worker in a garment workshop,  and his wife Gülizar as the third child. She has a sister and a brother. She grew up in a one-room shanty in the slums of Mamak, Ankara with her parents and paralytic grandfather.Already in the second class of the primary school and eight years old in 1998, she attended a chess course in her neighborhood. Only eight months after her begin, her chess instructor İslam Osmanoğlu took Kübra to the World Youth Chess Championship held in Oropesa del Mar, Spain, where she placed 44th in her age category. At the age of nine, she placed third in the under-10 category of national championship. She won the Turkish champion title six times after 1999. In 2006 and 2007, Kübra Öztürk became European champion. At the World Championship held in Kemer, Antalya, Turkey in November 2007, she placed fourth at  the U-16 girls category even though she gathered the same points with the winner.After the 2006 Chess Olympiad in Italy, she was awarded the title Woman FIDE Master (WFM). Kübra Öztürk was named Woman Grand Master after her success at the World Women's Chess Club Championship held in Mardin, Turkey as the second WGM following Betül Cemre Yıldız.Meanwhile, she helped finance her brother Mehmet's education, who studied Physic at Süleyman Demirel University in Isparta, with her income from chess.She won the Turkish Chess Championship women's title in Kemer, Antalya on January 29- February, 2012 defeating title-defender Betül Cemre Yıldız in the final game.She played board three for Turkey in the women's chess olympiad in Baku  in 2016 scoring +4 =4 -3.",country of citizenship
Q16442106,Ibrahim Serdar Aydin,İbrahim Serdar Aydın (born 19 July 1996) is a Turkish professional footballer who plays as a midfielder for Turkish club Anadolu Selçukspor. He made his Süper Lig debut on 13 April 2014.,country of citizenship
Q27037197,rahman çağıran,Rahman Buğra Çağıran (born 1 January 1995) is a Turkish football player who as a midfielder for Yeni Malatyaspor in the Süper Lig.,country of citizenship
Q983414,Moses Hamon,"Moses Hamon (Granada, c. 1490 – 1567) (Amon) was the son of Joseph Hamon, born in Spain. Going with his father to Constantinople, he became physician to Sultan Sulaiman I. This ""famous prince and great physician,"" as he is called by Judah ibn Verga, accompanied the monarch on all his expeditions, enjoying great favor on account of his knowledge and skill.Hamon was a fine linguist, versed in Arabic, Turkish, and Persian, and was a patron of Jewish learning. He printed some Hebrew works at Constantinople as early as 1515 and 1516. He also built in that city, at his own cost, a school which was presided over by the learned Joseph Taitazak of Salonica. He did not, however, translate the Pentateuch into Persian, nor the prayers of the Israelites into Turkish, as Manasseh b. Israel records, but he had Jacob Tavus' Persian Pentateuch translation, together with Saadia's Arabic translation, printed at his own expense in 1546.Hamon, who was everywhere highly respected on account of his firm character and philanthropy, was a fearless advocate of his coreligionists. When about 1545 the Jews of Amasya were falsely accused of having murdered a Christian for ritual purposes, and the innocence of those that had been executed was established soon after by the reappearance of the missing man, Hamon induced the sultan to decree that thenceforward no accusation of the kind should be entertained by any judge of the country, but should be referred to the royal court (see Danon in El Progreso, i. 148 et seq., where a legendary account of the event is given, probably taken from Me'ora'ot 'Olam, Constantinople, 1756).Hamon was also called upon to decide communal difficulties. After an affray which arose in the Jewish community of Salonica, Hamon summoned the instigators to Constantinople and induced the sultan to send a judge to Salonica to investigate the affair and to punish the guilty ones (see Danon, l.c. i. 162 et seq., 178 et seq., where several of Hamon's Hebrew letters are reprinted). The sultan, at Hamon's request, exempted the latter's descendants from all taxes.",country of citizenship
Q24325,Ufuk Budak,"Ufuk Budak (born 26 May 1990) is an Azerbaijani footballer  of Turkish descent, who plays for Turkish TFF Second League club Boluspor as a defender.",country of citizenship
Q8082488,Seref Stadium,"Şeref Stadium was a football stadium in Beşiktaş, İstanbul. It was named after Beşiktaş's former president Şeref Bey.",country
Q2542760,erman özgür,"Erman Özgür (born April 13, 1977) is a Turkish former footballer and a current pundit. He used to play as attacking midfielder who can also play as a left winger. Özgür played several years for Trabzonspor before moving to various Anatolian clubs. He is known as a technical player who is equally combative.",country of citizenship
Q14776423,Ahmet Bahçıvan,Ahmet Bahçıvan (born 27 February 1996) is a Turkish footballer who plays as midfielder for Adanaspor.,country of citizenship
Q20988320,Belen Belediyespor,"Belen Belediyespor is a football club located in Belen near Hatay, southern Turkey. The team competes in Turkish Regional Amateur League.",country
Q726183,tff,"The Turkish Football Federation Turkish: Türkiye Futbol Federasyonu; TFF) is the governing body of association football in Turkey. It was formed on 23 April 1923, and joined FIFA the same year and UEFA in 1962. It organizes the Turkish national teams, the Turkish Football League and the Turkish Cup.",country
Q18012228,Muhammed Mert,Muhammed Mert (born 9 February 1995) is a Belgian professional football player who plays for FC Den Bosch in the Eerste Divisie.,country of citizenship
Q768895,1973-74 turkish first football league,Statistics of the Turkish First Football League in season 1973/1974.,country
Q1356248,Erzincanspor,"Erzincanspor was a sports club located in Erzincan, Turkey. The football club played in the Iddaa League B in 2007–2008 season and relegated to Third League in 2008 and Erzincan Amateur League in 2008–2009 season.",country
Q7454951,serkan silan,"Serkan Silan (born 18 March 1983 in İstanbul) is a Turkish professional footballer who currently plays as a left back or left winger back for Balıkesirspor in the Turkish Second League.He started his professional career with Fenerbahçe SK and he also played for İzmirspor, Türk Telekomspor, Marmaris Belediyespor and Konya Şeker S.K..",country of citizenship
Q264106,murat gürbüzerol,Murat Gürbüzerol (born 1 February 1988) is a Turkish footballer who plays as a right winger.,country of citizenship
Q20988526,Tavla Gençlikspor,"Tavla Gençlikspor is a women's football club located in Defne near Hatay, southern Turkey. The team competes in theTurkish Women's Third Football League.",country
Q24912994,Serinevler Athletics Stadium,"Serinevler Athletics Stadium (Turkish: Serinevler Atletizm Pisti) is a sports venue for athletics competitions in track and field located in Yüreğir, Adana.",country
Q6008444,yeni milasspor,"Yeni Milasspor is a Turkish football club based in Mugla, Turkey. It is of amateur status after being relegated from the TFF Third League in 2000-01.",country
Q17045898,levent açıkgöz,"Levent Açıkgöz (born 4 January 1971) is a retired Turkish footballer and football manager. Levent is best known for his association with Kardemir Karabükspor where he played with in the Süper Lig and TFF First League, and also begun his professional managerial career.",country of citizenship
Q554088,Savas Yilmaz,"Savaş Yılmaz (born 1 January 1990) is a Turkish professional footballer who plays as a midfielder for Samsunspor. He is a youth international, earning caps at the U-16, U-17, U-18, and U-19 levels.",country of citizenship
Q310199,Tuncay Şanlı,"Tuncay Şanlı (Turkish pronunciation: [tunˈdʒaj ˈʃanɫɯ]; born 16 January 1982), known as Tuncay, is a Turkish former footballer.He naturally played as a striker, but was also positioned as an attacking midfielder and on either wing. He was in the Turkey team that finished in third place in both the 2003 Confederations Cup and the 2008 European Championships. With 22 international goals in 80 caps, he is Turkey's second-highest scorer of all time, and eighth-most capped player.Tuncay began his career with his local club, Sakaryaspor before joining one of the largest clubs in Turkey, Fenerbahçe in 2002. He became a popular player at the Şükrü Saracoğlu Stadium and he made international headlines after he scored a hat-trick against Manchester United in the UEFA Champions League in December 2004. After winning three Süper Lig titles with Fenerbahçe he left for English club Middlesbrough on a free transfer.Tuncay spent two seasons with Middlesbrough and won the player of the year award in 2009, but he was unable to help them avoid relegation. Following their relegation Tuncay joined Stoke City in August 2009 for a fee of £5 million. He was unable to earn a regular place under manager Tony Pulis and joined German side VfL Wolfsburg in January 2010. He failed to settle in Germany and returned to England in 2011–12 with Bolton Wanderers. Tuncay then went on to play for Bursaspor and Qatar side Umm Salal.",country of citizenship
Q5640313,Hakan Cengiz,Hakan Cengiz (born 10 October 1967) is a Turkish football coach and former professional footballer.,place of birth
Q1401074,goksu turkdogan,Goksu Turkdogan (born 15 April 1985) is a Turkish professional footballer. He currently plays  for Altınordu S.K. in the TFF First League.,country of citizenship
Q555889,Serdar Kesimal,"Serdar Kesimal (born 24 January 1989) is a Turkish footballer who plays as a centre back. Kesimal is also a youth international, having been capped at the U-20 and U-21 levels.",country of citizenship
Q16727339,ebru aydin (footballer),"Ebru Aydın (born January 29, 1992) is a Turkish women's football defender currently playing in the Women's Third League for Balıkesir Büyükşehir Belediyespor with jersey number 3. She is a member of the Turkish national team since 2011.",country of citizenship
Q6078377,Galip Güzel,"Galip Güzel (born January 10, 1987) is a Turkish association football player who currently plays as a midfielder for TFF First League club Osmanlıspor.",country of citizenship
Q2599700,Yasin Oztop,Yasin Öztop (born 25 May 1991) is a Turkish footballer who plays for Orduspor. He made his Süper Lig debut on 28 October 2012.,country of citizenship
Q3814087,kayhan kaynak,"Kayhan Kaynak (born 14 October 1960 - 9 January 1994) was a Turkish footballer best known for his stint in the Turkish Süper Lig with Adanaspor.Kayhan was a prolific goalscorer in Adanaspor, and transferred to Fenerbahçe where he had some successful seasons.After falling out with management, Kayhan joined Konyaspor, scoring 28 goals in 68 games, becoming the first superstar for the team.",country of citizenship
Q513237,kocaelispor,"Kocaelispor, is the football team of İzmit, Turkey. They were founded in 1966 and played in the top level between 1980–1988 and 1992–2003. The best result for them was the 4th position in 1992–93 season. They won Turkish Cup twice in 1997 and 2002. Gathering 20,152 spectators, Kocaelispor set a record of highest attendance at a Turkish Regional Amateur League encounter, on 8 January 2015.",country
Q15857490,Emre Taşdemir,Emre Taşdemir (born 8 August 1995) is a Turkish professional footballer who plays as a left back for Turkish club Galatasaray in the Süper Lig and Turkey national team.,country of citizenship
Q494472,Kayseri Ataturk Stadium,"Kayseri Atatürk Stadium, opened in 1964, was a multi-purpose stadium in Kayseri, Turkey.  It was mainly used for football matches, and was shared by the two largest clubs in the region, Kayserispor who currently play in the Turkcell Super League and Kayseri Erciyesspor who were last season relegated into the Turkish Second Division.  The stadium was able to hold 26,500 people, and was mostly uncovered.During a match between Kayseri Erciyesspor and Sivasspor on September 17, 1967, it was the location of the worst sporting-related disaster occurred in Turkey.In 2009, it was replaced by Kadir Has Stadium, located on a different site with a capacity in excess of 32,000 seats. Kayseri Atatürk Stadium was demolished and its land will host a multi-use real estate project, including a shopping mall, hotel, offices, and residential buildings.",country
Q4561989,1926–27 Istanbul Football League,The 1926–27 İstanbul Football League season was the 20th season of the league. Galatasaray SK won the league for the 9th time.,country
Q7102175,Orhan Hacıyev,Orhan Aydın Hacıyeva (born 1 October 1989) is an Azerbaijani professional basketball player who currently plays for Gaziantep Basketbol of the Turkish Basketball Super League. He plays the power forward position. He is 2.03 m tall. He is member of Azerbaijan national basketball team. He also holds a Turkish citizenship.,country of citizenship
Q6084515,Suleyman Ozdamar,Süleyman Özdamar (born 25 February 1993) is a Turkish footballer who plays for Silivrispor. He made his Süper Lig debut on 17 May 2013.,country of citizenship
Q18211256,Suat Okyar,"Suat Okyar (born March 30, 1972) is a Turkish football coach and former footballer. Currently, he is the assistant coach of the Turkey national futsal team, and the head coach of the Turkey women's national football team.He is the son of Vedat Okyar (1945–2009), former Beşiktaş J.K. footballer and captain as well as sports journalist.",country of citizenship
Q12811805,serpil hamdi tüzün,"Serpil Hamdi Tüzün is a Turkish football coach who coached the Beşiktaş J.K. senior team for the 1979–80 season. Primarily a youth coach, he worked with the youth of Beşiktaş representing some of the finest names to the football stage. He also worked as a youth coach for the Turkey national youth football team, collecting a European under-18 championship gold medal in 1992, and a European under-16 championship gold medal in 1994. Tüzün is now working as a youth coach in Azerbaijan.",country of citizenship
Q1719496,Kaan Kanak,Kaan Kanak (born 6 October 1990) is a Turkish professional footballer who is currently playing for Adana Demirspor on loan from Alanyaspor. He plays as a right back.,country of citizenship
Q17512892,new turgutlu stadium,"New Turgutlu Stadium is a stadium that is currently under construction in Turgutlu, Turkey. It will have a capacity of 12,000 spectators and will be the new home of Turgutluspor of the TFF Third League. It will replace the club's current home, 7 Eylül Stadium.",country
Q16937968,Mert Hakan Yandaş,Mert Hakan Yandaş (born 19 August 1994) is a Turkish professional footballer who plays as a midfielder for the Turkish club Sivasspor in the Süper Lig.,country of citizenship
Q6045919,Dumlupınar Stadium,"Dumlupınar Stadium is a multi-purpose stadium in Kütahya, Turkey.  It is currently used mostly for football matches and is the home ground of Turkish Regional Amateur League team Kütahyaspor.The stadium was built in 1938 and currently holds 11,495 people.With the promotion of TKİ Tavşanlı Linyitspor to the Turkish TFF First League at the end of the 2009-2010 season, the stadium became their home ground.",country
Q4569521,1958–59 istanbul football league,The 1958–59 Istanbul Football League was the 34th season of the league and also the last. This season was used to select which teams would compete in the first season of the newly founded Turkish National League. Eight teams would be picked. Fenerbahçe SK became champions for the 16th time in their history.,country
Q140299,Oguzhan Aynaoglu,"Oğuz Han Aynaoğlu (born 22 March 1992), also known as OG, is a Turkish-Danish footballer who plays as a winger for Turkish TFF First League club Altay SK. He has amassed a total 11 youth caps for Denmark under three different age groups.",country of citizenship
Q757107,2005 european cup final,"The 2005 UEFA Champions League Final was the final match of the 2004–05 UEFA Champions League, Europe's primary club football competition. The showpiece event was contested between Liverpool of England and Milan of Italy at the Atatürk Stadium in Istanbul, Turkey on 25 May 2005. Liverpool, who had won the competition four times, were appearing in their sixth final, and their first since 1985. Milan, who had won the competition six times, were appearing in their second final in three years and tenth overall.Each club needed to progress through the group stage and knockout rounds to reach the final, playing 12 matches in total. Liverpool finished second in their group behind 2004 runners-up AS Monaco and subsequently beat Bayer Leverkusen, Juventus and Chelsea to progress to the final. Milan won their group ahead of Barcelona and faced Manchester United, Internazionale and PSV Eindhoven before reaching the final.Milan were regarded as favourites before the match and took the lead within the first minute through captain Paolo Maldini. Milan striker Hernán Crespo added two more goals before half-time to make it 3–0. In the second half Liverpool launched a comeback and scored three goals in a dramatic six-minute spell to level the scores at 3–3, with goals from Steven Gerrard, Vladimír Šmicer and Xabi Alonso. The scores remained the same during extra time, and a penalty shoot-out was required to decide the champions. The score was 3–2 to Liverpool when Andriy Shevchenko's penalty was saved by Liverpool goalkeeper Jerzy Dudek. Thus Liverpool won their fifth European Cup, were awarded the trophy permanently, and claimed a multiple-winner badge. Liverpool's comeback gave rise to the final being known as the Miracle of Istanbul, and is regarded as one of the greatest finals in the history of the tournament.",country
Q4826101,zekiye keskin satır,Zekiye Keskin Şatır (born 10 June 1976 in Istanbul) is a Turkish athlete competing in archery. She is coached by Cumhur Yavaş and is a member of İzmir Metropolitan Municipality Sport Club.,country of citizenship
Q344187,ismail odabasi,İsmail Haktan Odabaşı (born 7 August 1991) is a Turkish professional footballer who plays as a right winger for Manisa Büyüksehir Belediyespor.,country of citizenship
Q800068,cenk sahin,"Enver Cenk Şahin (born 22 September 1994) is a Turkish professional football midfielder who plays for FC St. Pauli, in the 2. Bundesliga.",country of citizenship
Q4724822,Ali Gültiken,Ali Kurtuluş Gültiken (born 27 June 1965) is a former footballer and a football manager and scout. He is a part of the most famous trio of the Turkish football team Beşiktaş history alongside Metin Tekin and Feyyaz Uçar in early 90's.,country of citizenship
Q6089409,fikret yılmaz,"Fikret Yılmaz (born 1 August 1957 in Adana) is a Turkish football manager, and retired footballer best known for his stints as a goalkeeper with Antalyaspor in the Süper Lig, and as the father of the Turkish international footballer Burak Yılmaz.",country of citizenship
Q7454538,serhat sagat,"Serhat Sağat (born February 2, 1983 in İzmit) is a Turkish footballer currently playing for Tokatspor. He is a loyal midfielder of Kocaelispor who has spent his football career with the team. Standing at 1.80 meters, he wears the jersey number 89.",country of citizenship
Q10397140,mehmet budak,"Mehmet Budak (born August 1, 1980 in Doğanşehir, Turkey) is a Turkish footballer. He last played as a winger for 68 Yeni Aksarayspor.",country of citizenship
Q16914127,Hüseyin Tavur,"Hüseyin Tavur (born December 15, 1972) is a Turkish football manager. He is the head coach of the Izmir-based Altay S.K. U17 since the 2015–16 season, which competes in the Turkish Regional Youth Development Under −17 Football League.Hüseyin Tavur was born in Nevşehir, Turkey on December 15, 1972. He is married with Aysun Güven Tavur.He was appointed technical director of the women's football team at Konak Belediyespor in 2006. He was instrumental for the success of his team. He brought the team in the 2009–10 Women's League season to the third place, and the next season to the runner-up. He led then the women from Izmir to the league champion title in the 2012–13 season. Konak Belediyespor finished the 2013–14 season again champion, this time unbeaten. He won the 2014–15 league championship with Konak Belediyespor for the third consecutive time after finishing the season undefeated and beating Ataşehir Belediyespor in the play-off game.His team took part at the 2013–14 UEFA Women's Champions League, and advanced to the Round of 16 as the first ever Turkish club.For the 2015–16 season, he moved to Altay S.K. to manage their under-17 team in the Turkish Regional Youth Development Under −17 Football League (Turkish: Coca-Cola Bölgesel Gelişim U17 Ligi, BGGL U17).",country of citizenship
Q12809142,Dar alanda kısa paslaşmalar,"Offside (Turkish: Dar Alanda Kısa Paslaşmalar) is a 2000 Turkish comedy-drama film, written and directed by Serdar Akar, about a local amateur football that hopes to win the league championship. The film, which went on nationwide general release across Turkey on 8 December 2000 (2000-12-08), won four awards at the 20th Istanbul International Film Festival, including Best Turkish Film of the Year and the People's Choice Award. It was described by author Rekin Teksoy as having a ""less innovative albeit fluent style"" in comparison to the director's debut film On Board (Turkish: Gemide, 1998).",country of origin
Q4994260,"Yasin Avcı (footballer, born 1984)","Yasin Avcı (born 3 August 1984) is a Turkish professional football midfielder, who is currently unattached.",country of citizenship
Q550758,Aydin Toscali,Aydın Toscalı (born 14 August 1980) is a Turkish international footballer who currently plays as a center back for Mersin İdmanyurdu in the Süper Lig. He has made one appearance for the Turkey national football team.,country of citizenship
Q2483820,Yasir Elmaci,"Yasir Elmacı (born 10 October 1981 in Konya, Turkey) is a Turkish retired footballer.",country of citizenship
Q630348,bucaspor,"Bucaspor is a professional Turkish football based in Buca, Izmir. Formed in 1928, Bucaspor are nicknamed Fırtına (Storm). The club colours are yellow and navy.",country
Q140168,Zafer Özgültekın,Zafer Özgültekin (born 10 March 1975) is a Turkish international former football goalkeeper.,country of citizenship
Q6386814,Kemal Akbaba,"Kemal Akbaba (born 1 April 1988 in Selim, Turkey) is a Turkish football player who plays as a striker.",country of citizenship
Q361352,Mehmet Aurélio,"Mehmet Aurélio (born Marco Aurélio Brito dos Prazeres, 15 December 1977) is a Brazilian-born Turkish football coach and retired footballer, who most recently was the head coach of Corum Belediyespor.",country of citizenship
Q4869413,Batman Petrolspor,"Batman Petrolspor is a professional Turkish football club located in the city of Batman. Formed in 1960, the club colours are red, white, and black and they play their home matches at Batman Arena. The club is named Petrolspor because Batman is the largest producer of oil in Turkey.",country
Q832159,deniz dogan,"Deniz Doğan (born 20 October 1979) is a Turkish-German football coach and football player, who currently works for the reserve team of Eintracht Braunschweig as a playing assistant.",country of citizenship
Q1717999,yilmaz ozlem,Yılmaz Özlem (born 1 June 1972) is a Turkish former professional footballer who played as a defensive midfielder.,country of citizenship
Q2180471,Engin Gungor,Engin Güngör (born 17 May 1986 in Nijmegen) is a Turkish footballer. He currently plays for Kırklarelispor.,country of citizenship
Q1267525,dursun karatay,Dursun Karatay (born 5 October 1984 in Bludenz) is an Austrian-Turkish football player who plays for Konyaspor.Karatay previously played for SC Rheindorf Altach.,country of citizenship
Q12810711,Manavgatspor,"Manavgatspor is a football club located in Antalya, Turkey. The team competes in the Turkish Regional Amateur League.",country
Q1933005,mikail albayrak,Mikail Albayrak (born 6 April 1992) is a Turkish footballer who plays for Yeni Çorumspor. He made his Süper Lig debut on 6 March 2011.,country of citizenship
Q3564213,"Göztepe, Izmir","Göztepe is a neighborhood of İzmir, situated on the southern shore of the Gulf of İzmir, administratively within the boundaries of the metropolitan district of Konak. The neighborhood is also one of the eight quays of İzmir's urban ferry services operated by İzdeniz.It is notable for its football team Göztepe A.Ş. which, although currently playing in the Turkish Third League and experiencing difficulties, boasts of remarkable past glories such as that of being the first Turkish football club to ever reach a semi-final in a European Club Competition and still attracts a passionate and dedicated fan base.In Ottoman times, the alternative Greek name for Göztepe was ""Enopi"" and the area was a rich suburb inhabited principally by richer Greeks of İzmir.",country
Q1187858,Deniz Vural,Deniz Vural (born 11 July 1988) is a German footballer of Turkish descent who plays for Altay S.K..,country of citizenship
Q5374778,emre kahraman,Emre Kahraman (born 23 June 1987 in Trabzon) is a Turkish football player who currently plays for Araklıspor.,country of citizenship
Q944236,orhan cikirikci,"Orhan Çıkırıkçı (born 15 April 1967) is a retired Turkish football (soccer) striker. He played for Çorluspor, Eskişehirspor, Trabzonspor (1989–1999) and Akçaabat Sebatspor.He made 29 appearances for the Turkey national football team and was a participant at the 1996 UEFA European Championship.",country of citizenship
Q1784234,Koray Icten,Koray İçten (born 24 August 1987) is a Turkish professional footballer who plays as a left back.,country of citizenship
Q15429864,ecevit kilic,Ecevit Kılıç (born 1977) is a Turkish journalist and writer. He was a columnist for Cumhuriyet (1999 - 2006) and later Sabah. He is the author of a number of books on Turkish organised crime (including its involvement in football) and the Turkish deep state (including the Special Warfare Department and JİTEM).,country of citizenship
Q7459643,Seckin Getbay,"Seckin Getbay (born 27 January 1989 in Altındağ, Turkey) is a Turkish football player, who currently plays for Hacettepe on loan from Gençlerbirliği in the Turkcell Super League.",country of citizenship
Q4607051,2006 Turkish Super Cup,"The 2006 Turkish Super Cup (Turkish: TFF Süper Kupa 2006) was a football match between 2005–06 Süper Lig champions Galatasaray, and the 2005–06 Turkish Cup winners Beşiktaş. The match was played in Commerzbank-Arena in Frankfurt, Germany. It was the 34th edition of the Turkish Super Cup, since its establishment as Presidential Cup, and was the first time under the rebranded TFF Süper Kupa name. Also this final marked the re-establishment of the national super cup matches in Turkey, sanctioned by Turkish Football Federation. The last edition was in 1998, and there was an 8-year hiatus.",country
Q7915372,Var misin? Yok musun?,"Var mısın? Yok musun? is a Turkish adaptation of the game show Deal or No Deal. Produced by Acun Ilıcalı for Show TV, the show has been aired between September 10, 2007 and October 31, 2009 and in the second half of 2010. Within 350 episodes from 2007 to 2009, the show awarded around 23-24 Million TL to the contestants and donated around 7-8 Million TL several charities and institutions.There were 24 boxes containing prizes from 1 TL (about US$0.56) to 500,000 TL (about US$280,000). The set is similar to the French version, but the theme music and the graphics are similar to the US version. The offers are made by ""Hamdi Bey"", a fictitious character portrayed as a banker; although in February 2008 it was claimed that ""Hamdi Bey"" was in fact a studio assistant to one of Acun Ilıcalı's former shows, and his name was not Hamdi but Birol; but Acun Ilıcalı dismissed the claims.A New Year's Eve special was aired on December 31, 2007. The set was nearly identical to the US version. There were 26 cases, all held by models, containing prizes from 1 TL to 1,000,000 TL and the player won 125,000 TL.Although two different versions of Deal or No Deal had aired in Turkish TV's before and none had been successful, this version of the show was a hit from the first day it was broadcast.The show airs four or five times a week and receives good ratings, ranking from being first to third most watched TV show of the day.Until March 2008, there was only one 500,000 TL box; but from that moment and on two more 500,000 TL boxes were added to the show, tripling the chance to choose the grand prize box, and generally boosting the bank offers. In the 2008 season, one more 500,000 TL was added, bringin the highest prized box count to 4.In September 2009, producer Acun Ilıcalı set his mind to make at least one person win the grand prize, hence raising the number of 500,000 TL boxes to 10. Consequently, Ülkühan Yılmaz won the grand prize for the first time on October 24, 2009. He is currently the only person who has ever won the grand prize.The show had several guest contestants throughout its life, namely 50 Cent, Adriana Lima, Bruce Willis (together with Emma Heming),  Christina Aguilera, Paris Hilton and Roberto Carlos. Turkish celebrities like Cem Yılmaz and Fatih Terim (among with players of Turkish National Football Team of Euro 2008) have also appeared within the show.The show has started again on November 8, 2011 on FOX (Turkey) and hosted by Asuman Krause. The format is identical to the Show TV version, but the number of boxes was later reduced to 22.",country of origin
Q8080021,i̇brahim ege,"İbrahim Ege (born 3 February 1983 in Erzurum) is a Turkish retired football player, who played as a defender.",country of citizenship
Q20064416,emine demir,"Emine Demir (born November 11, 1993) is a Turkish women's football defender currently playing in the First League for Hakkarigücü Spor with jersey number 7. She was a member of the Turkey girls' U-17, Turkey women's U-19, women's U-21 and Turkey women's teams.",country of citizenship
Q7453032,Serdar Guenes,"Serdar Güneş (born 24 June 1987) is a Turkish footballer who was born in Berlin-Kreuzberg, West Germany. He plays for Türkyurt 1989 Berlin.",country of citizenship
Q3790170,Mahmut Sönmez,"Mahmut Sönmez (born January 25, 1990) is a Turkish-Dutch footballer who currently plays for Kozakken Boys. Sönmez began his professional career with Preußen Münster, whom he joined in July 2012, having previously played amateur football in his hometown of Rotterdam. He made his 3. Liga debut a month later, as a substitute for Rico Schmider in a 2–1 defeat to SV Darmstadt 98. He left Münster after one season and three appearances.",country of citizenship
Q18571991,ertugrul ersoy,Ertuğrul Ersoy (born 13 February 1997) is a Turkish professional footballer who plays as a defender for Turkish Süper Lig club Bursaspor.,country of citizenship
Q2517952,Hasan Kılıç,Hasan Kılıç (born 27 July 1992 in Utrecht) is a Dutch-Turkish professional footballer who currently plays as a midfielder for Osmanlıspor. He formerly played for FC Den Bosch.,country of citizenship
Q6373389,Kars S.K.,"Kars SK is a sports club in Kars, Turkey, founded in 1967.After financial problems and lack of support from the city, Kars SK were closed. In 1995, the club was re-founded as Kars Köy Hizmetleri SK and took its traditional name in a short time. But that was not enough for them to survive in professional football. After hard times in the amateur league, Kars SK gained promotion to TTF Third League in the 2004–2005 season. During the 2007–2008 season, Kars SK made a great effort and were eventually promoted to TFF Second League as third after the game against Aksarayspor on 4 May 2008, which they won 2–1. Karsspor finished in the Second League fourth Classification Group as third in the 2008–2009 season.",country
Q7814249,Tolgay Özbey,"Tolgay Özbey (born 12 April 1986) is an Australian  soccer player, who currently  plays for Rockdale City Suns in the National Premier Leagues NSW as a Striker.",country of citizenship
Q5395762,ersan dogu,Ersan Dogu (born 20 April 1972) is a retired Turkish footballer.,country of citizenship
